label,n_filings,n_implausible,implausible_share,hours_total,hours_share_implausible,cases_total,cases_share_implausible,aggregate_trir_unscreened,aggregate_trir_screened,ratio_screened_to_unscreened,median_establishment_trir_screened
62,328005,10422,0.03177390588558101,329911491646.0,0.6338819617304942,3137851.0,0.01858660592870726,1.9022380726082506,5.099125768274365,2.6805928457118444,4.091736737658299
63,7,1,0.14285714285714285,1433362.0,0.05930881382372353,20.0,0.05,2.790641861581373,2.818257263872686,1.0098957170647702,5.1910133232207905
65,1,0,0.0,70280.0,0.0,2.0,0.0,5.691519635742743,5.691519635742743,1.0,5.691519635742743
66,1,1,1.0,97394.0,1.0,1.0,1.0,2.0535145902211633,,,
71,23643,874,0.03696654400879753,9771686147.0,0.3531960735414725,187384.0,0.015492251206079494,3.8352439319293663,5.837669214800951,1.5221115836207686,2.1976814460743914
72,137349,6143,0.04472548034568872,40855777688.0,0.6347247736913523,345905.0,0.03057775978953759,1.6932978372926573,4.493928042589832,2.653950146050493,0.0
73,3,0,0.0,115054.0,0.0,0.0,,0.0,0.0,,0.0
74,1,1,1.0,16185390.0,1.0,5.0,1.0,0.06178411518041888,,,
75,1,0,0.0,24322.0,0.0,4.0,0.0,32.89203190527095,32.89203190527095,1.0,32.89203190527095
76,1,0,0.0,62407.0,0.0,0.0,,0.0,0.0,,0.0
77,26,0,0.0,4071301.0,0.0,21.0,0.0,1.0316112711882517,1.0316112711882517,1.0,0.0
79,1,0,0.0,279654.0,0.0,9.0,0.0,6.436525134630651,6.436525134630651,1.0,6.436525134630651
80,9,1,0.1111111111111111,2699804.0,5.592998602861541e-05,81.0,0.0,6.000435587175958,6.000771210225907,1.000055933114367,4.632966381630942
81,47822,957,0.020011710091589644,23445159132.0,0.7391210524712595,97851.0,0.01480822883772266,0.8347224213670993,3.152272992993884,3.776432634732784,1.3693815416497397
82,1,0,0.0,1659239.0,0.0,122.0,0.0,14.705536694834198,14.705536694834198,1.0,14.705536694834198
83,7,1,0.14285714285714285,1762574.0,0.0010093193250325944,31.0,0.0967741935483871,3.517582807870762,3.1803815889981513,0.9041383707817463,2.6415175335589947
84,1,1,1.0,1600.0,1.0,1.0,1.0,125.0,,,
87,53,0,0.0,7413794.0,0.0,34.0,0.0,0.9172091914072605,0.9172091914072605,1.0,0.0
90,5,0,0.0,974689.0,0.0,68.0,0.0,13.9531686517443,13.9531686517443,1.0,10.739984964021051
91,1,0,0.0,274560.0,0.0,0.0,,0.0,0.0,,0.0
92,56648,2117,0.037371134020618556,37462916328.0,0.5686352160490563,497976.0,0.026491236525455042,2.6585009860954676,5.999734108948454,2.2568109398222362,1.3800431953520145
93,13,0,0.0,384857.0,0.0,1.0,0.0,0.5196735410814926,0.5196735410814926,1.0,0.0
94,2,2,1.0,0.0,,8.0,1.0,,,,
95,2,0,0.0,4024321.0,0.0,112.0,0.0,5.5661563776845835,5.5661563776845835,1.0,5.551912379360461
96,1,0,0.0,23747.0,0.0,4.0,0.0,33.688465911483554,33.688465911483554,1.0,33.688465911483554
99,1890,352,0.18624338624338624,150700931.0,0.0012917106663395464,2955.0,0.03756345177664975,3.921674511752021,3.779244570869005,0.9636813456965388,0.0
