naics3,model,count,observed,expected
332,poisson,1,1969.0,2121.2075029341286
332,poisson,2,1287.0,1654.3847328333306
332,poisson,3,934.0,1175.912152664676
332,poisson,4,613.0,822.2556751902932
332,poisson,5,449.0,576.9709369448375
332,poisson,6,325.0,407.5042534990703
332,poisson,7,267.0,290.06536020061566
332,poisson,8,176.0,208.36112193520617
332,poisson,9,156.0,151.107251849001
332,poisson,10+,646.0,465.2921070431155
332,nb2,0,3051.0,3063.2695499248152
332,nb2,1,1969.0,2019.068112653114
332,nb2,2,1287.0,1305.901688019448
332,nb2,3,934.0,870.4286182961271
332,nb2,4,613.0,601.5355666051018
332,nb2,5,449.0,429.9215855622617
332,nb2,6,325.0,316.28416316364064
332,nb2,7,267.0,238.38361599509705
332,nb2,8,176.0,183.32690381312608
332,nb2,9,156.0,143.38632427580166
332,nb2,10+,646.0,701.4938716914666
332,zip,0,3051.0,2816.505178899342
332,zip,1,1969.0,1634.2518969639775
332,zip,2,1287.0,1416.954146758916
332,zip,3,934.0,1086.3222558830257
332,zip,4,613.0,797.7432010067023
332,zip,5,449.0,577.0265724133227
332,zip,6,325.0,414.6215496237316
332,zip,7,267.0,297.3033584439038
332,zip,8,176.0,213.65204889752533
332,zip,9,156.0,154.41816581797983
332,zip,10+,646.0,464.20162529157386
332,zinb,0,3051.0,3063.274700056928
332,zinb,1,1969.0,2019.0590038585726
332,zinb,2,1287.0,1305.9008058884165
332,zinb,3,934.0,870.4295448601487
332,zinb,4,613.0,601.5367036624481
332,zinb,5,449.0,429.9225595810155
332,zinb,6,325.0,316.28491939704924
332,zinb,7,267.0,238.3841788590944
332,zinb,8,176.0,183.3273119878587
332,zinb,9,156.0,143.3866135945611
332,zinb,10+,646.0,701.4936582539076
493,poisson,0,3876.0,2987.7571432716277
493,poisson,1,1720.0,1927.004902009342
493,poisson,2,952.0,1167.492805853348
493,poisson,3,575.0,738.4188214375556
493,poisson,4,430.0,496.87153824223935
493,poisson,5,278.0,350.4898879346764
493,poisson,6,218.0,254.81763832118423
493,poisson,7,167.0,189.69549482567663
493,poisson,8,152.0,145.27977962849363
493,poisson,9,140.0,115.6596513345752
493,poisson,10+,1267.0,1401.512337141281
493,nb2,0,3876.0,3846.6001641902285
493,nb2,1,1720.0,1743.0340533453177
493,nb2,2,952.0,959.2632944364534
493,nb2,3,575.0,597.3950918563891
493,nb2,4,430.0,405.38873449879463
493,nb2,5,278.0,292.7916741738329
493,nb2,6,218.0,221.53921766195353
493,nb2,7,167.0,173.70014945445308
493,nb2,8,152.0,140.04854099292407
493,nb2,9,140.0,115.48037735434193
493,nb2,10+,1267.0,1279.758702035312
493,zip,0,3876.0,3638.201782918136
493,zip,1,1720.0,1564.400580871339
493,zip,2,952.0,1028.4289257638084
493,zip,3,575.0,697.2971400224701
493,zip,4,430.0,492.8349229821341
493,zip,5,278.0,357.3658526029409
493,zip,6,218.0,262.9560552019265
493,zip,7,167.0,196.34821574578856
493,zip,8,152.0,149.76725650984108
493,zip,9,140.0,117.6940858012633
493,zip,10+,1267.0,1269.7051815803518
493,zinb,0,3876.0,3846.608242447583
493,zinb,1,1720.0,1743.0259026116496
493,zinb,2,952.0,959.2621098989434
493,zinb,3,575.0,597.3951318482842
493,zinb,4,430.0,405.38897265458144
493,zinb,5,278.0,292.79190175142173
493,zinb,6,218.0,221.5393965061018
493,zinb,7,167.0,173.70028048061553
493,zinb,8,152.0,140.04863354937604
493,zinb,9,140.0,115.48044135348002
