model,params,loglik,n,k,converged,aic,bic,observed_zeros,expected_zeros,zero_ratio_observed_over_expected,naics3,year,naics3_title,modal_establishment_industry_description,is_best_by_aic,zero_inflation_pi,dispersion_alpha,observed_mean,observed_variance,variance_to_mean_ratio
zinb,"{'mu': 10.933261856380335, 'alpha': 0.6016336691437127, 'pi': 0.013627913298920599}",-18493.528678364914,6146,3,True,36993.05735672983,37013.2280269579,831,772.4045456540917,1.0758610946499392,492,2024,Couriers and Messengers,Couriers and Express Delivery Services,True,0.013627913298920599,0.6016336691437127,11.19492352749756,604.7592713332343,54.02084881131995
poisson,{'mu': 2.4233396337350976},-16283.108575457387,5892,1,True,32568.217150914774,32574.898501692358,2080,1757.7927334705469,1.1833021950735307,333,2024,Machinery Manufacturing,Belt conveyor systems manufacturing,False,,,3.3143245078071963,56.12557213366278,16.93424165360206
nb2,"{'mu': 2.9646167916131096, 'alpha': 0.8585039014574497}",-11556.042460108116,5892,2,True,23116.08492021623,23129.447621771396,2080,2175.056994627861,0.9562967798716812,333,2024,Machinery Manufacturing,Belt conveyor systems manufacturing,True,,0.8585039014574497,3.3143245078071963,56.12557213366278,16.93424165360206
zip,"{'mu': 2.6013091122420615, 'pi': 0.09973135286569712}",-15816.957451234735,5892,2,True,31637.91490246947,31651.277604024635,2080,2087.086721322412,0.9966044912029713,333,2024,Machinery Manufacturing,Belt conveyor systems manufacturing,False,0.09973135286569712,,3.3143245078071963,56.12557213366278,16.93424165360206
zinb,"{'mu': 2.96461680088774, 'alpha': 0.8585039393187031, 'pi': 1.7880197594737074e-15}",-11556.042460108116,5892,3,True,23118.08492021623,23138.12897254898,2080,2175.057017334192,0.9562967698884985,333,2024,Machinery Manufacturing,Belt conveyor systems manufacturing,False,1.7880197594737074e-15,0.8585039393187031,3.3143245078071963,56.12557213366278,16.93424165360206
poisson,{'mu': 2.921034512493656},-7060.555592313802,5783,1,True,14123.111184627604,14129.773862485761,4070,4132.056334925346,0.9849817306698295,531,2024,Real Estate,Residential property managing,False,,,1.3354660210963167,1010.3142306621261,756.5255983321346
nb2,"{'mu': 4.196723783280136, 'alpha': 1.3768256124859977}",-5451.720004078079,5783,2,True,10907.440008156158,10920.765363872475,4070,4193.663549566441,0.9705118095181416,531,2024,Real Estate,Residential property managing,False,,1.3768256124859977,1.3354660210963167,1010.3142306621261,756.5255983321346
zip,"{'mu': 3.3221420013273693, 'pi': 0.1563166490356463}",-6622.533731276836,5783,2,True,13249.067462553672,13262.39281826999,4070,4291.160266685066,0.9484614293243555,531,2024,Real Estate,Residential property managing,False,0.1563166490356463,,1.3354660210963167,1010.3142306621261,756.5255983321346
zinb,"{'mu': 4.447164164105002, 'alpha': 1.1440094996096857, 'pi': 0.060514003275938165}",-5449.402483718819,5783,3,True,10904.804967437638,10924.793001012113,4070,4194.642834276567,0.9702852330458158,531,2024,Real Estate,Residential property managing,True,0.060514003275938165,1.1440094996096857,1.3354660210963167,1010.3142306621261,756.5255983321346
poisson,{'mu': 3.936893319987017},-10415.330386633392,5556,1,True,20832.660773266784,20839.28340697066,2197,2201.8557260495973,0.9977947119821928,441,2024,Motor Vehicle and Parts Dealers,Tire Dealers,False,,,1.8003959683225341,56.24975506279153,31.2429910155823
nb2,"{'mu': 4.703176118525065, 'alpha': 0.7094400288812206}",-9023.092078866546,5556,2,True,18050.184157733092,18063.42942514084,2197,2456.4657372076003,0.8943743715706984,441,2024,Motor Vehicle and Parts Dealers,Tire Dealers,True,,0.7094400288812206,1.8003959683225341,56.24975506279153,31.2429910155823
zip,"{'mu': 4.406993426346362, 'pi': 0.10537518330193102}",-10084.605749214415,5556,2,True,20173.21149842883,20186.456765836578,2197,2409.783853829705,0.911700025090822,441,2024,Motor Vehicle and Parts Dealers,Tire Dealers,False,0.10537518330193102,,1.8003959683225341,56.24975506279153,31.2429910155823
zinb,"{'mu': 4.71456735002506, 'alpha': 0.6994373746229534, 'pi': 0.002853461840303097}",-9022.961747540503,5556,3,True,18051.923495081006,18071.791396192628,2197,2456.184489998934,0.8944767825648771,441,2024,Motor Vehicle and Parts Dealers,Tire Dealers,False,0.002853461840303097,0.6994373746229534,1.8003959683225341,56.24975506279153,31.2429910155823
poisson,{'mu': 1.4645045513592356},-12470.362497446244,5380,1,True,24942.724994892487,24949.315438545644,2220,2218.8729334482587,1.0005079455135766,325,2024,Chemical Manufacturing,"Pharmaceutical preparations (e.g., capsules, liniments, ointments, tablets) manufacturing",False,,,2.16728624535316,18.384654717320103,8.482799517940151
nb2,"{'mu': 2.0821481474215635, 'alpha': 0.9875363041584195}",-9331.231892218588,5380,2,True,18666.463784437175,18679.64467174349,2220,2415.1083582308866,0.9192134143522209,325,2024,Chemical Manufacturing,"Pharmaceutical preparations (e.g., capsules, liniments, ointments, tablets) manufacturing",True,,0.9875363041584195,2.16728624535316,18.384654717320103,8.482799517940151
zip,"{'mu': 1.5941868387358167, 'pi': 0.09083285514024693}",-12146.955974727744,5380,2,True,24297.911949455487,24311.0928367618,2220,2406.39928743553,0.9225401667924472,325,2024,Chemical Manufacturing,"Pharmaceutical preparations (e.g., capsules, liniments, ointments, tablets) manufacturing",False,0.09083285514024693,,2.16728624535316,18.384654717320103,8.482799517940151
zinb,"{'mu': 2.082148149209153, 'alpha': 0.9875363486053934, 'pi': 4.636441629836789e-15}",-9331.231892218588,5380,3,True,18668.463784437175,18688.235115396645,2220,2415.108381380313,0.9192134055413272,325,2024,Chemical Manufacturing,"Pharmaceutical preparations (e.g., capsules, liniments, ointments, tablets) manufacturing",False,4.636441629836789e-15,0.9875363486053934,2.16728624535316,18.384654717320103,8.482799517940151
poisson,{'mu': 3.8623203737044576},-11514.272103027122,5377,1,True,23030.544206054245,23037.134091931053,2712,2022.1679643505636,1.3411348848417652,562,2024,Waste Management and Remediation Services,Garbage collection services,False,,,2.1136321368793007,28.07951846091998,13.284960032060425
nb2,"{'mu': 3.881846209310917, 'alpha': 1.0329358853055524}",-8195.253627577076,5377,2,True,16394.507255154153,16407.687026907774,2712,2659.5757658977886,1.0197115024036605,562,2024,Waste Management and Remediation Services,Garbage collection services,False,,1.0329358853055524,2.1136321368793007,28.07951846091998,13.284960032060425
zip,"{'mu': 4.695709229788262, 'pi': 0.22058010110984397}",-10546.221328290478,5377,2,True,21096.442656580955,21109.622428334576,2712,2581.0867796427206,1.0507201932882708,562,2024,Waste Management and Remediation Services,Garbage collection services,False,0.22058010110984397,,2.1136321368793007,28.07951846091998,13.284960032060425
zinb,"{'mu': 3.9745426466199985, 'alpha': 0.9621665035694094, 'pi': 0.02285774339353003}",-8194.084433555756,5377,3,True,16394.16886711151,16413.93852474194,2712,2662.9847829201763,1.0184061198525043,562,2024,Waste Management and Remediation Services,Garbage collection services,True,0.02285774339353003,0.9621665035694094,2.1136321368793007,28.07951846091998,13.284960032060425
poisson,{'mu': 3.1331680535140505},-17161.93134367396,5361,1,True,34325.86268734792,34332.44959315175,2768,2791.6979134109156,0.9915112902090608,624,2024,Social Assistance,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",False,,,2.33948890132438,102.22349005774849,43.694795901737336
nb2,"{'mu': 5.520981441969601, 'alpha': 1.6923378883186986}",-8585.015091970992,5361,2,True,17174.030183941984,17187.20399554964,2768,2970.3334919605404,0.9318818938990611,624,2024,Social Assistance,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",False,,1.6923378883186986,2.33948890132438,102.22349005774849,43.694795901737336
zip,"{'mu': 4.098070958375559, 'pi': 0.14991803543118432}",-14697.308074817984,5361,2,True,29398.616149635967,29411.789961243623,2768,2929.480055093548,0.9448775714267864,624,2024,Social Assistance,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",False,0.14991803543118432,,2.33948890132438,102.22349005774849,43.694795901737336
zinb,"{'mu': 5.624695501851295, 'alpha': 1.5855901742907992, 'pi': 0.02041644817219999}",-8583.80017239924,5361,3,True,17173.60034479848,17193.361062209962,2768,2966.1475619666962,0.9331969978474992,624,2024,Social Assistance,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",True,0.02041644817219999,1.5855901742907992,2.33948890132438,102.22349005774849,43.694795901737336
poisson,{'mu': 2.730746247566873},-7951.175613369234,5223,1,True,15904.351226738469,15910.912053966906,2893,2842.8113998491262,1.0176545655309872,811,2024,Repair and Maintenance,Industrial equipment and machinery repair and maintenance services,False,,,1.2454528049013978,28.316164944307182,22.735638663200064
nb2,"{'mu': 3.3510988527933563, 'alpha': 0.945798179587372}",-6713.2885876971795,5223,2,True,13430.577175394359,13443.698829851231,2893,3042.5601112750205,0.9508439913082455,811,2024,Repair and Maintenance,Industrial equipment and machinery repair and maintenance services,True,,0.945798179587372,1.2454528049013978,28.316164944307182,22.735638663200064
zip,"{'mu': 3.1786729129400126, 'pi': 0.1486384990720878}",-7658.99265040445,5223,2,True,15321.9853008089,15335.106955265772,2893,3037.9791356653536,0.952277771113263,811,2024,Repair and Maintenance,Industrial equipment and machinery repair and maintenance services,False,0.1486384990720878,,1.2454528049013978,28.316164944307182,22.735638663200064
zinb,"{'mu': 3.3510988467365106, 'alpha': 0.9457981632747916, 'pi': 1.3344606570167754e-13}",-6713.28858769718,5223,3,True,13432.57717539436,13452.25965707967,2893,3042.5601068069013,0.9508439927045973,811,2024,Repair and Maintenance,Industrial equipment and machinery repair and maintenance services,False,1.3344606570167754e-13,0.9457981632747916,1.2454528049013978,28.316164944307182,22.735638663200064
poisson,{'mu': 1.0982355384030944},-12635.935210955955,4936,1,True,25273.87042191191,25280.374732477496,3220,3289.8485796467257,0.9787684515090277,541,2024,"Professional, Scientific, and Technical Services",Other Services Related to Advertising,False,,,1.274513776337115,20.639593564234847,16.19409216866368
nb2,"{'mu': 3.2082022987086263, 'alpha': 3.783772687624793}",-6351.5957859227465,4936,2,True,12707.191571845493,12720.200192976663,3220,3376.9873539386044,0.9535126023627216,541,2024,"Professional, Scientific, and Technical Services",Other Services Related to Advertising,True,,3.783772687624793,1.274513776337115,20.639593564234847,16.19409216866368
zip,"{'mu': 1.4382352974531163, 'pi': 0.2388832209798314}",-11803.77188308342,4936,2,True,23611.54376616684,23624.552387298012,3220,3507.8264392633946,0.917947354509411,541,2024,"Professional, Scientific, and Technical Services",Other Services Related to Advertising,False,0.2388832209798314,,1.274513776337115,20.639593564234847,16.19409216866368
zinb,"{'mu': 3.208202145876968, 'alpha': 3.7837727677150412, 'pi': 5.0052330711448286e-15}",-6351.595785922747,4936,3,True,12709.191571845495,12728.70450354225,3220,3376.987392959356,0.9535125913449789,541,2024,"Professional, Scientific, and Technical Services",Other Services Related to Advertising,False,5.0052330711448286e-15,3.7837727677150412,1.274513776337115,20.639593564234847,16.19409216866368
