naics3,size_band,n,n_with_metric,zero_share,hours_total,aggregate_trir,p10,p25,p50,p75,p90,p95,publishable
325,250-499,3441,3441,0.11915140947399012,2402900977.0,1.641349368014344,0.0,0.4676087424130482,1.185592677779622,2.3350058894037433,3.8250425535984087,5.367162722615272,True
325,500-999,1549,1549,0.08521626856036152,2111891180.0,1.2125624768223142,0.11706042321000436,0.35505122501548914,0.8411798388419597,1.7610370551547023,3.0238563836477685,4.052861172734096,True
326,001-019,1858,1858,0.6953713670613563,42542990.0,4.136991781724792,0.0,0.0,0.0,5.868983491749652,13.133616841177629,19.576756331415453,True
326,020-049,9413,9413,0.3962604908105811,627085914.0,4.142654047878996,0.0,0.0,2.8711293587332576,6.382978723404255,11.326572149541738,14.813278729145122,True
326,050-099,9765,9765,0.20348182283666155,1392052648.0,4.052720281884051,0.0,1.2171002586338049,3.076923076923077,5.94380135815861,9.726285698008308,12.563989258046098,True
326,100-249,10397,10397,0.09377705107242473,3211495622.0,3.476137387055731,0.4259954725306065,1.26018783099621,2.738600575106121,4.961178776077196,7.798981579408705,10.223942929115523,True
326,1000+,308,308,0.003246753246753247,979863458.0,2.8552957834661896,0.7869395877075989,1.5394842685240886,2.5809373623995153,3.7960583264088394,4.8703592949795755,5.370703921184704,True
326,250-499,3247,3247,0.03233754234678164,2204104276.0,2.9767194190589192,0.6001078887032312,1.2558920349501745,2.3586677003424414,4.013495378346722,6.399739097663635,8.1556747013341,True
326,500-999,971,971,0.02368692070030896,1263595486.0,2.387314637811234,0.5587424569768308,1.0695557617585947,1.9310323035372123,3.3431280171793296,4.787348633344947,5.935360137429846,True
327,001-019,4956,4956,0.6561743341404358,108611573.0,5.095221298378581,0.0,0.0,0.0,7.361400703323958,16.763763382750263,25.01801205997229,True
327,020-049,12052,12052,0.3503153003650846,783290236.0,4.797966101546043,0.0,0.0,3.4616300355320173,7.358013353206144,12.456899129322888,16.59364229443707,True
327,050-099,5733,5733,0.1927437641723356,820517002.0,4.45694603656732,0.0,1.2954374692333601,3.3542039355992843,6.510628601191445,10.767855797187291,14.041573215218207,True
327,100-249,3704,3704,0.07262419006479481,1170608754.0,3.924795525662027,0.6332801178432091,1.6001072101833342,3.196050444002667,5.595194100715255,8.657440484598721,11.148751585027007,True
327,1000+,33,33,0.0,95498096.0,4.167622357622711,0.7201644503916,1.7205781142463867,3.350376824326714,5.6112269428672885,6.887746459323975,10.587270681108365,True
327,250-499,1194,1194,0.023450586264656615,829331565.0,3.2840906037382047,0.6934363811711168,1.408202574716394,2.7294832236986037,4.3881031506129275,6.9670260541372455,8.48490584828935,True
327,500-999,223,223,0.02242152466367713,296246027.0,2.824004117361547,0.38234174230136597,0.9517433753113032,2.4434529713842568,4.38967670811841,6.569771674112993,7.861704179138225,True
331,001-019,842,842,0.6270783847980997,20552037.0,6.198898921795441,0.0,0.0,0.0,7.883918986643508,19.509310425987312,28.341794471898204,True
331,020-049,3823,3823,0.2885168715668323,257682862.0,6.851833242988429,0.0,0.0,4.366812227074236,9.66675094107869,16.74053833921318,23.57684814820428,True
331,050-099,4006,4006,0.12506240639041438,586653531.0,6.135137367817189,0.0,2.054232157070011,4.762996289019277,8.67773273814667,13.723370324964957,17.717656989430523,True
331,100-249,4493,4493,0.06743823725795682,1463345156.0,4.6709417610564055,0.6193077063993703,1.6634322151372332,3.685245975994875,6.75164740196608,10.981029784876888,14.356455491035119,True
331,1000+,233,233,0.004291845493562232,886792848.0,1.485126997776599,0.4950867824489943,0.7734357174723698,1.242410204802448,1.911299529305735,2.572876536930516,3.576246548356941,True
331,250-499,1628,1628,0.030712530712530713,1194280851.0,3.7649435610016324,0.6822191304828501,1.449442627050681,2.823123951824784,5.1663004613289045,7.873413771008625,10.353900684342689,True
331,500-999,751,751,0.014647137150466045,1104118207.0,2.7723480879072215,0.6287765893900238,1.1525890712376985,2.0787535793538194,3.7968854269007823,6.298703233192463,7.976528329781031,True
332,001-019,5895,5895,0.6614079728583545,142876758.0,4.6977549700560814,0.0,0.0,0.0,6.666666666666667,14.491077076565555,21.789578099136776,True
332,020-049,29472,29472,0.3783930510314875,1888810078.0,4.7929646847214675,0.0,0.0,3.261977579327471,7.308372234181535,12.590494176896444,16.906985576760544,True
332,050-099,20275,20275,0.17430332922318126,2865594172.0,4.670654390205816,0.0,1.4574603802495247,3.5714285714285716,6.775073488768838,10.949384715467048,14.228799761658149,True
332,100-249,14399,14399,0.07563025210084033,4433043065.0,4.028474286883563,0.6122845151538846,1.6102130446303367,3.314413555951444,5.756110041130117,8.923373715784901,11.34952445630196,True
332,1000+,188,188,0.031914893617021274,604247836.0,1.8830021924977154,0.2536431609314371,0.8061360887765769,1.5285103769332824,2.6038127470107244,4.133714757316142,5.792256507765987,True
332,250-499,3846,3846,0.039521580863234526,2639133562.0,3.0560787510457947,0.5190410200949546,1.2247165376510583,2.3986116959330124,4.261131461506813,6.788907805483843,8.890798206706425,True
332,500-999,935,935,0.017112299465240642,1217668048.0,2.8142316829520686,0.5156755918818701,1.2662804963024956,2.3248883525207074,3.7466927092959588,5.721279079231048,7.275828067950853,True
333,001-019,3931,3931,0.7601119308064106,86509491.0,3.3152431795026978,0.0,0.0,0.0,0.0,11.621825788831426,18.88153356760838,True
333,020-049,14338,14338,0.4522946017575673,926721573.0,3.9002005621811504,0.0,0.0,2.3931889842367724,5.67295453311536,10.765233289104009,14.78646899461886,True
333,050-099,10804,10804,0.2381525360977416,1518625088.0,3.696633253565741,0.0,1.0118362352455055,2.5586248356504075,5.399631814865838,9.119417365703113,12.025765298170567,True
333,100-249,9529,9529,0.12036939867772065,2961559780.0,3.271789435227946,0.0,0.9856780972470011,2.4764837233107286,4.679834333864581,7.573311740421204,9.842529513442194,True
333,1000+,754,754,0.007957559681697613,2658713550.0,2.1823336327450544,0.3611528878029166,0.6862023016048715,1.5641202569625134,3.2231897829534164,4.972222046901572,6.165859390085255,True
333,250-499,3606,3606,0.05684969495285635,2484360604.0,2.6929262962986513,0.3318019687656213,0.9298192236361706,2.064672630523521,3.8232620737642122,6.224111742660389,7.904222103275739,True
333,500-999,1510,1510,0.02384105960264901,2061030020.0,2.0973978826373427,0.31763451653654534,0.7130865214731787,1.4840229175206936,2.9257704112505034,4.7342216996465565,6.433842543010002,True
