naics3,model,count,observed,expected
491,poisson,5,478.0,573.1989024683363
491,poisson,6,332.0,412.1347244459868
491,poisson,7,263.0,292.87854197584096
491,poisson,8,216.0,205.78092696030933
491,poisson,9,169.0,143.3492749692319
491,poisson,10+,656.0,501.58019280795946
491,nb2,0,1197.0,2248.854514739265
491,nb2,1,2981.0,1767.4244491019444
491,nb2,2,1434.0,1302.8838769920485
491,nb2,3,910.0,945.5952897601685
491,nb2,4,624.0,688.5922429489774
491,nb2,5,478.0,506.47789863788626
491,nb2,6,332.0,376.81394999551645
491,nb2,7,263.0,283.43654473796425
491,nb2,8,216.0,215.3432973212331
491,nb2,9,169.0,165.1131008532739
491,nb2,10+,656.0,759.4648349117222
491,zip,0,1197.0,2180.2742647145096
491,zip,1,2981.0,1736.0462238614791
491,zip,2,1434.0,1387.8269232204218
491,zip,3,910.0,1047.4682832793387
491,zip,4,624.0,773.6972527837196
491,zip,5,478.0,565.9786684642891
491,zip,6,332.0,410.11093865922624
491,zip,7,263.0,293.80933938575004
491,zip,8,216.0,208.10932398611286
491,zip,9,169.0,146.08204242301161
491,zip,10+,656.0,510.5967392221409
491,zinb,0,1197.0,2248.8545566019234
491,zinb,1,2981.0,1767.4244719107155
491,zinb,2,1434.0,1302.8838851870366
491,zinb,3,910.0,945.59528954177
491,zinb,4,624.0,688.5922385379977
491,zinb,5,478.0,506.4778924206642
491,zinb,6,332.0,376.81394323701124
491,zinb,7,263.0,283.4365380907664
491,zinb,8,216.0,215.3432911118122
491,zinb,9,169.0,165.1130952310345
491,zinb,10+,656.0,759.4647981292682
484,poisson,0,3150.0,2716.634291089756
484,poisson,1,1661.0,1992.5007267700803
484,poisson,2,1156.0,1307.848738279779
484,poisson,3,748.0,824.8176126919632
484,poisson,4,501.0,528.6626874988858
484,poisson,5,371.0,354.2169187284636
484,poisson,6,284.0,248.88031241538627
484,poisson,7,190.0,181.88125013089885
